Unnamed: 0,Comment,Rating
5168,Good quality,5
5169,"Super laptop
High processor
I love this laptop ❤️",5
5170,"An absolute beast for the price.

Other than the
1) battery life
2) body of the laptop getting toasty while gaming
3) noise the fan makes while in turbo mode

can't think of any cons.",5
5171,Awesome laptop but it gives little electric shock when on power.,5
5172,"It is good product but acer should have to upgrade the cooling system
Only 2 heatsink pipe because of bad cooling system they have underclock the cpu and GPU , you need to have cooling pad",4
5173,"Got it under 1L, should have been 1TBSSD instead of HDD, display is good, battery is very poor as with most gaming laptops however build quality is also average when compared to HP, dell etc. Overall just Satisfied",4
5174,"Only cons I found
1. Major thing is about speaker-even though we purchase a premium laptop the sound quality is very poor not audibible and not at even loud atleast. The budget laptop speakers are far better
2. Battery is draining fast.
3. Heating issue you should always put on a table.
4. There is no type-c charging you can only use for file transfering
5.Attracts the finger prints and oil easily need to have a good maintainance
7. Sometimes the turbo button is not working.
6. Last thing...
READ MORE",4
5175,"Super fast delivery great seller(corseca)
Loved it",5
5176,Windows updates not happening and graphics card is not up to the mark.,1
5177,"Not good display
Screen bleeding problem",1
5178,I have not tested it in games but the overall quality of the product has been nothing short of premium,5
5179,It is what you would expect from a i7 10th gen rtx 3060 laptop with top notch thermals. Easily runs gta V/ red dead redemption 2 at 2k resolution in high 100 fps and ultra 50 fps settings.,5
5180,"Overall the product is good...As far as the rate is concerned....performance is ok. For copying files to a pen drive...it take more time..It's body looking good, metallic body. But speaker sound is low..for seeing a film. Battery backup is maximum 1 hour.",4
5181,Best laptop under this prize range,4
5182,Nice laptop 🙂👍🏽👍🏽,5
5183,"The product is good and nice quality.Got it at a good price
Review after 6 months of usage:
Laptop have no issue high fps games need to be careful in the temperature aspects, like buying a laptop stand would help it a bit.
Also, serviced my laptop at an official acer service centre loved the support.
Untill now i have just one complain which is regarding HDD which got corrupted for me randomly but got it replaced for free just lost the data. 😭 Can improve this by using WD drives instead of s...
READ MORE",5
5184,"It has been 3 weeks since getting this thing but gotta say it's served well so far.. Except the obvious average battery but that's to be expected from a gaming laptop and almost no audibility from the speakers. The display is good, the keyboard with the rgb is good and it's not too heavy to carry around. The design is simple yet stylish I would say and the performance is good. Also, I learned that you could get a lot of performance improvement from running dual channel ram.. Wish it were dua...
READ MORE",5
5185,"This is my first review ever. Value for money product. Good display except for the light screenbleeding issue but the colour accuracy makes up for it .
Rendering in Adobe premier pro is quick without much of a framedrops, 90fps average while playing Forza Horizon 4 in ultra settings. So Gpu is great, thanks to RTX 3060.
I7 10870h gives a decent Cpu performance. There is no overheating as such. Overall a decent package for content creators and game lovers.",5
5186,"I got it at 107k around a month ago. I have played multiple games during this time, all of them in high/extreme settings and have not faced any issues. The display is also great. The weight of the laptop is not much and is very easy to carry. The speaker sound is not high enough. The turbo mode is enough to cool down your pc when its temperature is high(very rare temp rise).",5
5187,"1) display ips panel major drawback, when viewing in black screen mild colour changes occurs but when viewing in different angles it will change, if it changes then its said as ips glow which is default drawback comes with ips panel, if the colour does not change on viewing in different angles then its backlight bleed, then its considered as defect
2)16 gb ram ddr4, 2933mhz, cl21 is given
3)gaming tested with games like cyperpunk2077, resident evil8, and red dead redemption 2,good performanc...
READ MORE",4
5188,"If you want to do heavy tasks like video editing, design work, play heavy games... Do consider adding another 8/16 gb ram to make it dual channel... The performance will be significantly better.
There are many detailed reviews in this review section which i also agree with so you can refer to those.
Other than this... It's perfection for the price range(Rs. 1.14 lakh)",5
5189,"A great performing laptop, the 110W RTX 3060 GPU performs really well and easily outputs more than 60fps at 1080p at max settings. The i7 10850H is a perfect companion for gaming. The laptop has decent overclocking headroom and the thermals are pretty good with vents at the bottom for intake. A cooling pad will keep it even cooler.",5
5190,"Overall very good price to performance ratio.
With upgrades like RAM and a SSD, the laptop would be even better - has extra empty slots for the same.
Doesn't heat up much while gaming. Sound is average.
Pro Tip : Uninstall Nvidia Drivers and reinstall them through System Updates, significantly increases fps in games.
Definitely Recommended for anyone looking for a value for money laptop.",5
5191,"I hade bought this product a month ago and I used to do both gaiming and editing in this product an I am vlwell stisfide with the perfomence and the cooling system is great and it gives a great out put
Cons
Track pad is not so good need a extr mouse
And the blutooth connectivity is not up to the expectations",5
5192,"Awesome value for money. Feels solid. The ports are a bit tight, but I guess it might get better with use. Haven't gone anywhere it's limits yet...don't think I ever will. Overall good product feel and very satisfying buy.
Had it for a week. Power backup is around 5 hrs @ ""Better battery"" settings. HUGE power brick.",5
5193,"Battery is 5-8hrs (No gaming).My Basic Usage is YT + Vscode, GMeet ,Other streaming platforms.
Build Quality is Awesome. Hinge looks a bit of a problem though.
Ryzen 5 5500U is the best for students who dont want to do gaming.
2 level Backlit is good.
4x2 ram is a Con.
Webcam and sound quality is okayish.
Keyboard keys are awesome love them.",5
5194,"My experience is very bad with this transaction with Flipkart. The order was placed on 4th October 2021 and the item was received on 4th Oct 2021 from Galaxy electronics through Flipkart.

Every thing seems to working fine after the seven day replacement warranty the actual problem was noticed

1. wifi not working
2. USB port issue
3.Rattling sound from the device

I Had approached HP call center immediately an onsite engineer was arranged , who came and declared that the device need and repl...
READ MORE",2
5195,"14"" anti-glare ips panel.
2 stage backlit keyboard.
Type C port with PD.
NO Rj45.
720p average webcam.
2x4gb= 8gb ddr4 3200mhz ram (no empty slot), but support upto 16gb ram.
Office 2019 home and students.",5
5196,If you are student and your Branch is CSE you can go for this laptop,5
5197,Good product love you,5
5198,Quiet good laptop for multi-taskers,5
5199,excellent,5
5200,Product is good but delivery is too late..,4
5201,Best Laptop under 57K,5
5202,"Value for money device , You won't be regret.

Pros-
1- Performance beast. App opening time is too fast.
2- Very responsive display.
3- Speaker performance is good.
4- Feels light in hand. In hand feeling is good.
5-Very fast and responsive UI. Personally I don't like MiUI but in this phone feels nice.
6- Battery backup is good.

Cons-
1- Camera is not upto the mark.Very disappointed
2- No Fast charger in box
3- Camera hump is little higher.
4-Too many system app and many bloatware ...
READ MORE",4
5203,"This is my 1st phone and I m very happy😊 with my new phone poco m2 reloaded
Because this phone
Is very nice and good fill in hand
Performance is very good
App opening is too fast 🚴. Battery performance is good

I think my choice is good 👍
Poco m2 reloaded comes with some new features like game turbo
Floating window
And more",5
5204,I am so happy is your good product is mobile pinching nice is battery 5000mah very good is mobile camera Lo 3.4 quality and thank you Flipkart,5
5205,"It is really a good product . The back camera is perfect, the front camera is not perfect but good. Value for money. Camera quality of video is greater than that of photo. Overall good product, go for it. Delivery boy is also great 👍.",4
5206,"So beautiful poco m2... And my favorite phone... i love this phone ❤ ....
Awesome and great phone this Price..",5
5207,Very good mobile at this price . And volume good and camera also good and you can play games smoothly and good battery life but pocco support 18 watt charger but pocco provide charger with this phone only 10 watt .. but this is the no big problem .. you can buy 18 watt charger .. to the mobile accessories store ..,5
5208,This phone is really very good.Its camera have excellent clarity and it's storage is great.I really like this phone.Its colour is superb andquality is great,5
5209,"Myself , it will be good to say disappointed with the display (over saturated) and camera ( just ok . struggle in focusing and exposer correction ) . M2 Reloaded comes with lots of pre installed apps .that is also a negative point for this phone . But , but if you consider those three points , it may be a good phone for you ( in budget segment) . Performance wise , you may consider it as it comes with g80 . smooth and i haven't fill any lags . I play games just for time pass , light game...
READ MORE",3
5210,I'm happy this phone smooth experience nice camera quality little week but phone very fast thanks you flitkart😄😄😄,4
5211,"POCO M2 BEST FOR GAMING I PLAY FREE FIRE LEVEL 68
MY OPINION ITS BEST FOR FREE FIRE GAMING",5
5212,"Value for money device , You won't be regret.

Pros-
1- Performance beast. App opening time is too fast.
2- Very responsive display.
3- Speaker performance is good.
4- Feels light in hand. In hand feeling is good.
5-Very fast and responsive UI. Personally I don't like MiUI but in this phone feels nice.
6- Battery backup is good.

Cons-
1- Camera is not upto the mark.Very disappointed
2- No Fast charger in box
3- Camera hump is little higher.
4-Too many system app and many bloatware ...
READ MORE",4
5213,"This is my 1st phone and I m very happy😊 with my new phone poco m2 reloaded
Because this phone
Is very nice and good fill in hand
Performance is very good
App opening is too fast 🚴. Battery performance is good

I think my choice is good 👍
Poco m2 reloaded comes with some new features like game turbo
Floating window
And more",5
5214,I am so happy is your good product is mobile pinching nice is battery 5000mah very good is mobile camera Lo 3.4 quality and thank you Flipkart,5
5215,"It is really a good product . The back camera is perfect, the front camera is not perfect but good. Value for money. Camera quality of video is greater than that of photo. Overall good product, go for it. Delivery boy is also great 👍.",4
5216,"So beautiful poco m2... And my favorite phone... i love this phone ❤ ....
Awesome and great phone this Price..",5
5217,Very good mobile at this price . And volume good and camera also good and you can play games smoothly and good battery life but pocco support 18 watt charger but pocco provide charger with this phone only 10 watt .. but this is the no big problem .. you can buy 18 watt charger .. to the mobile accessories store ..,5
5218,This phone is really very good.Its camera have excellent clarity and it's storage is great.I really like this phone.Its colour is superb andquality is great,5
5219,"Myself , it will be good to say disappointed with the display (over saturated) and camera ( just ok . struggle in focusing and exposer correction ) . M2 Reloaded comes with lots of pre installed apps .that is also a negative point for this phone . But , but if you consider those three points , it may be a good phone for you ( in budget segment) . Performance wise , you may consider it as it comes with g80 . smooth and i haven't fill any lags . I play games just for time pass , light game...
READ MORE",3
5220,I'm happy this phone smooth experience nice camera quality little week but phone very fast thanks you flitkart😄😄😄,4
5221,"POCO M2 BEST FOR GAMING I PLAY FREE FIRE LEVEL 68
MY OPINION ITS BEST FOR FREE FIRE GAMING",5
5222,"I think Poco m2 reload is the best choice of me. Recently I searched about many smart phones, but i liked this and I like all the features of poco m2 reload at a reasonable price. I finally decided to buy this. This phone is very nice and battery performance is very gud. Totally iam very happy.",5
5223,"Been using this phone for a week now. All features are great; it's light on the hand. Would have preferred a complimentary back silicon cover but oh well it's a good mobile for this price point.
One issue I am having is that: the touch is stretched way too near the edge of the screen; so whenever I'm holding on the edges, the touch seems to misbehave.

Other than that, rest is ok.",5
5224,"Overall it's a good product for daily usage. I bought it for my cousin to facilitate online education and it does the task pretty well. Camera could have been made better but considering the price it does decent job. Multitasking is good, Looks are also stylish and if you're a medium user than this phone won't disappoint you. Battery backup is also good, lasts easily for a day and a half.",5
5225,Best phone under 10000 best camera 📷 best performance best battery best best best It is the king👑🦁 of budget smartphones 100/💯,5
5226,"Camera is quit good at this range
Display is pretty good
Battery life is superb but it can support 18w fast charging but company provide only 10w charger that's not fair
the software is excellent and I really like the game turbo feature
My gaming experience is excellent
Best Phone under this range",5
5227,Very nice phone no lag in palying pubg nice cam and battery playing free fire is also good i liked it very much love you poco❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,5
5228,"Except camera everything else is good, nice display, good battery life , overall good phone
And one thing, Ekart Delivey is very very fast",4
5229,"Very nice mobile this price range
Performance good this price range
Camera is average
Display is good
Battery backup is impressed
Sound quality nice
Overall this price range nice mobile",4
5230,"It was fine before the update , but after the 12.5 miui update , dark mode has problems , full screen mode has problems , the ir sensor doesn't work during calls , the phone doesn't give above 1.8gb free ram in any case.
Also , the phone has only 10W charging , still it heats up pretty bad , upto 45 degrees. Also , the charger heats upto even 50-55 degrees , which is not good considering it's not fast charging.",1
5231,Bought it for my mom she is really happy.. perfomance is superb nice display with a good battery life. VFM product.,5
5232,"Got this in around 8k during Big billion days.A good value for money smartphone.
Processor : G80 Good for normal day to day uses can't be used for heavy gaming purpose.

Camera: average camera. Macro camera is not useless.
You can still click good pictures with (skill matters).

Display: it advertises itself as full hd+ display. But actually it is hd+ display but not a problem , enough bright for a budget smartphone. Screen refresh rate is below 60Hz.

Sound: Good, but could have been better....
READ MORE",4
5233,Value for money & good performance,4
5234,Good,4
5235,Good product,5
5236,This was the amazing product thanx flipcart and smart delivery,5
5237,"It's camera is average performance, battery life is good and it is not suitable for heavy gamers totally I like this phone",4
5238,Superb,5
5239,Nyc phone,5
5240,Nice phone and picture quality is too Good 😍👍,5
5241,Value of the money,4
5242,Osm phone this range,5
5243,Looking classy everything is good love this phone.❤️,5
5244,Good camera,4
5245,nice smartphone,5
5246,Awesome 🥰🥰🥰🥰,5
5247,Very nice phone u can buy it.,5
5248,Nice phone,5
5249,Value for 💰 money,4
5250,"Its a very good in segment
Very fast
Best miui
Camera bit okok
No case supplied it’s disappointing
Only normal 5v 2a (10w)charger sould supplied 18w charger
its best for girls

Plus points

Type c
Iphone type bottom loud speaker
4 camera but 2 only worth
Torch bit low power
Color good",5
5251,camera good coundition,5
5252,Nyc product,5
5253,Good products,4
5254,Nice phone,3
5255,Best budget gaming Beast 🔥🔥🔥💪,5
5256,"Overall, the phone is good after one month's usage. Decent performance, battery, features, etc. But good to take a look at the flaws before buying it. I wouldn't call these deal-breakers, but some of them can be a pain.

1. MIUI bugs. Not a big fan of this UI. Lots of bugs, but not a deal-breaker for all. Considering the price and specs, I would ignore those.

2. Major issue, can be a deal-breaker for some: Proximity sensor is bad. Very bad. In simple terms, while taking calls the screen ca...
READ MORE",3
5257,Osm ❤️,5
5258,Nyc phone,5
5259,Nice product.i am very happy,4
5260,Good,4
5261,𝓝𝓲𝓬𝓮,5
5262,Best Gaming Phone POCO M2 ❤❤❤ I Love This Phone,5
5263,"Value for money
Good display
Good performance
Camera quality is about an average
Good battery backup",5
5264,Nice phone this price. I love this phone,5
5265,Best for Bgmi ☺️☺️,5
5266,Amazing... worth for price... full satisfaction...,5
5267,Nice,5
5268,Very nice porduct excellent awesome good porduct,5
5269,Excellent phone under 10k...best budget buy...go for it without thinking...,5
5270,Awsm phone,5
5271,Every thing is good bt battery is not good... Every 2min 1% battery loss . I don't know how bt without doing anything it losses battery,4
5272,Good phone,5
5273,"It's AMEZING
Colour is AWESOME 🥰
SELFI SUPER😍",5
5274,Best phone under this price range...,5
5275,Nice display and battery. Overall a good value products,5
5276,Not bad,5
5277,Superb,4
5278,Best mobile phone in this price segment ❤️❤️,5
5279,All ok except internet speed,4
5280,Very good,5
5281,"1.Camera is best
2.Perfomance is superb
3.Battery is also good
4.I play free fire on ultra and it does not lag
Awesome phone in my budget",5
5282,"the camera of this phone is very good,",5
5283,Super,5
5284,Good look my super model,5
5285,Good phone,5
5286,Camera📷 very good👍mobile is good product,5
5287,Its not working,1
5288,Nice phone under 10000,5
5289,Good,4
5290,"Everyone function is ok but charging problem....
And zyroscop sensor bad.....",1
5291,"Beat phone
Beat working",4
5292,Nice,5
5293,Value for money,5
5294,This phone is unbelievable amazing phone I love it,5
5295,Super,5
5296,Good,3
5297,Mobile is Very good I am very happy Thanks Flipkart,5
5298,Decent phone...like it???,4
5299,"SUPER 📷
HIGHLIGHTS
IN MOBILE
AT LEAST PRICE
GREAT PHONE I LOVE THIS MOBILE",5
5300,Cemara quality so good & value of money,5
5301,"Nice product
Value for money",5
5302,Value for money,5
5303,After one month of using I am writing this. Sometimes brightness level automatically decreasing and increasing even automatic brightness is turned off... Battery usage is good. Gyro response is little slow. Camera is good. Performance is good. For PUBG players who using gyro for playing will sufer. Other than this it's good. Giving good frame rate.,4
5304,Nice camera,5
5305,Vare nice,5
5306,Good performance,5
5307,"I bought this phone for my big brother and he is impressed, and the phone performance is great. Over all best phone under 10,000rs. for medium or simple use. I think you must buy this product if you have budget under 10,000rs. Thanks flipkart and delivery person. It comes to me in 5 day's.",5
5308,Nice phone value for money 9000 is 4/64. 5000mah battery,5
5309,Nice and wow,5
5310,Very bad phone,1
5311,Nice Phone. But No Cover with it,4
5312,"I think Poco m2 reload is the best choice of me. Recently I searched about many smart phones, but i liked this and I like all the features of poco m2 reload at a reasonable price. I finally decided to buy this. This phone is very nice and battery performance is very gud. Totally iam very happy.",5
5313,"Been using this phone for a week now. All features are great; it's light on the hand. Would have preferred a complimentary back silicon cover but oh well it's a good mobile for this price point.
One issue I am having is that: the touch is stretched way too near the edge of the screen; so whenever I'm holding on the edges, the touch seems to misbehave.

Other than that, rest is ok.",5
5314,"Overall it's a good product for daily usage. I bought it for my cousin to facilitate online education and it does the task pretty well. Camera could have been made better but considering the price it does decent job. Multitasking is good, Looks are also stylish and if you're a medium user than this phone won't disappoint you. Battery backup is also good, lasts easily for a day and a half.",5
5315,Best phone under 10000 best camera 📷 best performance best battery best best best It is the king👑🦁 of budget smartphones 100/💯,5
5316,"Camera is quit good at this range
Display is pretty good
Battery life is superb but it can support 18w fast charging but company provide only 10w charger that's not fair
the software is excellent and I really like the game turbo feature
My gaming experience is excellent
Best Phone under this range",5
5317,Very nice phone no lag in palying pubg nice cam and battery playing free fire is also good i liked it very much love you poco❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,5
5318,"Except camera everything else is good, nice display, good battery life , overall good phone
And one thing, Ekart Delivey is very very fast",4
5319,"Very nice mobile this price range
Performance good this price range
Camera is average
Display is good
Battery backup is impressed
Sound quality nice
Overall this price range nice mobile",4
5320,"It was fine before the update , but after the 12.5 miui update , dark mode has problems , full screen mode has problems , the ir sensor doesn't work during calls , the phone doesn't give above 1.8gb free ram in any case.
Also , the phone has only 10W charging , still it heats up pretty bad , upto 45 degrees. Also , the charger heats upto even 50-55 degrees , which is not good considering it's not fast charging.",1
5321,Bought it for my mom she is really happy.. perfomance is superb nice display with a good battery life. VFM product.,5
5322,"Thanks again Flipkart team the wonderful delivery on time. Kind delivery boy.
This product purchased for my Mom 😍 and she is very happy gifted to mom on her birthday 🎉
She is so happy!
Amazing product from realme

a. Awesome built quality
b. Best Battery 🔋 little bit heavy but, it's fine to handle afterall it has 6000 mh battery 🔋
c. Camera is good 🤳 front and back both. It will be better maybe after some updates.
d. Display is also good

Thanks again!",4
5323,"Positive sides :
1. Battery is very very powerful. Certainly exceeds your expectations.
2. performance wise this phone is a very good purchase . smoothly functioning ..no lag..no heating issue.
3. Day light pic quality is above average. Selfie camera good.
4. There is dedicated slot for memory card apart from slots for 2 sim cards.

Negative sides :
1. Both rear and front camera in low light disappointing.
2. Display could have been Full HD+ instead of HD+. Realme has disappointed its custome...
READ MORE",4
5324,"Excellent!!
Very good mobile. I ordered it to my friend and he is very happy with it. Camera quality is good and battery backup is superb. Oxygen blue colour looks very attractive and rich. Highly recommended guys. Go for it.....",5
5325,Best phone superb design and colour and performance is so good . Value for money i like it.,5
5326,"I bought it as a secondary device but was surprised by the camera quality at daylight (low light pics though are bit disappointing)
Battery backup is quite good with 2 days of back up with normal usage.
Display is also good for the price which one is paying.
No lags whatsoever though I haven't tried any high graphics games on this one.
Finger print sensor too is very responsive but is slightly misplaced on the back panel(should have been at the centre).
Over all a good budget phone(a complete...
READ MORE",4
5327,"It is a decent budgeted smart phone and main pros are Durable battery , big display good performance and good design with gaming processor from Helio G85. And Android 11

The corns are bit heavy and need lots of time to charge and heat bit while charging the phone.",4
5328,I gift this to my mom. The joy in her eyes tells everything. Fantabulous phone. Thanks Realme and FlipKart for bringing this wonderful phone. Packaging was superb. Easy tracking and above all... Super quick delivery. Overall 5 star from my side. Thanks!,5
5329,"First of all thanks to flipkart for excellent service. otherwise realme narzo 50 A is realy worst one in realme series, camera quality is so poor, it's not like 50mp camera it's like 2mp camera clarity is very dull n blur, don't buy if you want good camera phone",2
5330,"Display could have FHD....camera is ok.
Rest are ok in this price. I assure you you will not be excited very okies phone. According to you must go another Better options in this price range.",3
5331,"Very nice mobile and battry is very extra powar and camera is nice this price range
And delivery boy is very honest ..... Delivery boy rating is 5/5",5
5332,"Thanks again Flipkart team the wonderful delivery on time. Kind delivery boy.
This product purchased for my Mom 😍 and she is very happy gifted to mom on her birthday 🎉
She is so happy!
Amazing product from realme

a. Awesome built quality
b. Best Battery 🔋 little bit heavy but, it's fine to handle afterall it has 6000 mh battery 🔋
c. Camera is good 🤳 front and back both. It will be better maybe after some updates.
d. Display is also good

Thanks again!",4
5333,"Positive sides :
1. Battery is very very powerful. Certainly exceeds your expectations.
2. performance wise this phone is a very good purchase . smoothly functioning ..no lag..no heating issue.
3. Day light pic quality is above average. Selfie camera good.
4. There is dedicated slot for memory card apart from slots for 2 sim cards.

Negative sides :
1. Both rear and front camera in low light disappointing.
2. Display could have been Full HD+ instead of HD+. Realme has disappointed its custome...
READ MORE",4
5334,"Excellent!!
Very good mobile. I ordered it to my friend and he is very happy with it. Camera quality is good and battery backup is superb. Oxygen blue colour looks very attractive and rich. Highly recommended guys. Go for it.....",5
5335,Best phone superb design and colour and performance is so good . Value for money i like it.,5
5336,"I bought it as a secondary device but was surprised by the camera quality at daylight (low light pics though are bit disappointing)
Battery backup is quite good with 2 days of back up with normal usage.
Display is also good for the price which one is paying.
No lags whatsoever though I haven't tried any high graphics games on this one.
Finger print sensor too is very responsive but is slightly misplaced on the back panel(should have been at the centre).
Over all a good budget phone(a complete...
READ MORE",4
5337,"It is a decent budgeted smart phone and main pros are Durable battery , big display good performance and good design with gaming processor from Helio G85. And Android 11

The corns are bit heavy and need lots of time to charge and heat bit while charging the phone.",4
5338,I gift this to my mom. The joy in her eyes tells everything. Fantabulous phone. Thanks Realme and FlipKart for bringing this wonderful phone. Packaging was superb. Easy tracking and above all... Super quick delivery. Overall 5 star from my side. Thanks!,5
5339,"First of all thanks to flipkart for excellent service. otherwise realme narzo 50 A is realy worst one in realme series, camera quality is so poor, it's not like 50mp camera it's like 2mp camera clarity is very dull n blur, don't buy if you want good camera phone",2
5340,"Display could have FHD....camera is ok.
Rest are ok in this price. I assure you you will not be excited very okies phone. According to you must go another Better options in this price range.",3
5341,"Very nice mobile and battry is very extra powar and camera is nice this price range
And delivery boy is very honest ..... Delivery boy rating is 5/5",5
5342,"overall good product, mobile colour is good i liked it, camera back is good front is perfect, online buying is good beneficial for me.I recommend to all that buy online fon its better , always available in color and design. Backup also nice, i ordered and received before time same product nothing damage so i am happy for this. Thanks flipkart",5
5343,"I GOT THIS PHONE WITH SUPERB EXCHANGE DEAL

Camera is not good upto 50mp
Battery 🔋 is very good 👍
Display is HD only not sAmoled
Speakers sound good
Runs very smooth no lagging 👌.
Overall its good budget smartphone.",5
5344,"Front camera can be a bit better,
Apart from that for 11k , u get a beast of a phone
No competition for this price ,
18 watt for 6000 mah battery ,
Helio g 85 , 128 gb rom 4gb ram , looks good in blue color , clean U.I.
I LOVE IT FOR WHAT I PAID😁❤️❤️",4
5345,"This mobile has good features but battery doesn't seems to be an that much good performance though having 6000 Mah others features are great and display is awesome gaming performance is also good as well so overall nice phone and only big draw back Narzo should start giving silicon case which is not provided in the box.

Basic need to protect the mobile.",4
5346,Very nice product with bright display and also smooth and great performance,5
5347,Price wise perfect 👌.. Its claiming fast charging but its not.. Camera is good but not as expected.. Nyc performance.,4
5348,Mobile is good battery 6000ma super camera guality Vera level performance is good phone oxygen Blue closers super,5
5349,Front and back camera,5
5350,Camera quality is not so good.battery is super,5
5351,Amazing mobile.Thanks flipkart.,5
5352,"Excellent mobile in this price, camera is super",5
5353,Good phone 📱,5
5354,Very nice,5
5355,Awesome mobile. Just too good.,5
5356,good,5
5357,Nice phone 📱,5
5358,It's a very nice mobile you can never get this device in this price battery performance good but heat when you charge your mobile,5
5359,Superb battery backup and camera also 9500 killer deal 👍👍,5
5360,best phone for students,5
5361,"mind blowing i get it in special price☺️☺️
super performance
camera preety good..
battery super
quick charging
best buy😍",5
5362,Camera is good,5
5363,Nice phone and smart gaming 👍👍☺️,5
5364,Back camera and battery is very good,4
5365,"Overall good performance 👍.
Camera is ok.
Battery backup is super.
Thank you flipkart and realme😊.",5
5366,Nice phone superbb quality camera.. good deal from flipkart,5
5367,Super 👌 good mobile,5
5368,I love this phone,5
5369,Camera is good.and batter backup is Awesome,5
5370,Osm Product,5
5371,"Phone performance is quite good
All over in budget phone is totally paisa vasool",3
5372,Nice 👍 Smartphone good,4
5373,Lovely,5
5374,Very Good quality,5
5375,Its camera quality and specifications are too good .....and battery is too long backup...,5
5376,Nice product,5
5377,"value for money..
Great",5
5378,Overall the performance of this mobile good in below 10k range.,5
5379,Nice mobile good,4
5380,"ValuE
FoR


Money 💸",5
5381,"It just took it 25% of battery to last from 4pm to 1 am the next day, battery is amazing, camera is good in this range, but charging is not that good but it can be tolerated, everything else is ok too.",5
5382,So nice,5
5383,"Average phone
Acutely 9000 range phone",4
5384,good,4
5385,I don't know why company has claimed the camera is of 50 MP. It's as good as 20 MP only. Rest of the things are good but not according to price. In that case Samsung phones supersedes the realme with the same price. I am little disappointed to opt it.,3
5386,"Utterly disappointed...I was excited by seeing the battery is 6000 mah and camera 50 mp but actually it's below average performance and it takes very long time to get charged fully and if we Google any website it's not opening, really it's nightmare for me, I feel like the company is cheating by giving wrong features",1
5387,"Literally, camera sukcs!!!!
Realme accidentally added an extra 0 in front of 5. Making it 50MP instead of 5MP. Front camera also not good. I am using realme phones since laat 4 years , cameras are always their major buying point, but narzo 50a has it as a greatest drawback.
Rest all things are as per specification shown.
Overall good if u can neglect camera .",3
5388,Good product but display only should be full hd+,5
5389,Nice,5
5390,Mobile is best battery backup but charging is slow .3hour time taken in full charge,5
5391,Good......,5
5392,Best camera,5
5393,Lot of Thanks for Flipkart team resolve any problem within a.minut .A grateful experience with customer cear .,5
5394,Awesome,5
5395,"EXCELLENT PHONE FOR STUDENTS AND GAMMERS,",5
5396,This product is wonderful but the camera is not bad nor good,4
5397,Satisfied by the price,4
5398,"Best Mobile


Selfie & Back Camera


Charger Type c",5
5399,":- BATTERY BACKUP JUST OSM BUT CHARGING NOT FAST
CAMERA IS USABLE NOT BAD
BIG SCREEN
SELFIE IS DECENT
PROCESSOR IS DECENT
ALL ABOUT GOOD OPTION IN 10K
NO LAG ISSUE AND HEAT ISSUE

BEST FOR PARENT'S USE ❤",4
5400,"Thank you flipkart...
Product is Good...👍",5
5401,"Narendra Sethy
Very nice 👍 product",4
5402,Bad,1
5403,Bad mobile.,2
5404,Really nice mobile good camera and good display no hang issue battery Vera leval🔋 really awesome thanks Flipkart and realme😍😍🥰🥰,4
5405,Touch response is poor and camera quality also poor,1
5406,In this price sigment it should has Full HD+ display but it is only HD+ and processor g85 . Overall okey. Not too good.,4
5407,This phone camera is not a good quality 😔😔,1
5408,"Good mobile in lower price, Camera MP very poor quality as per given camera specification",3
5409,Selfie camera is very bad,1
5410,Nice 👍👍👍👍👍👍 i.m happy,5
5411,"Very low buffering speed
Poor performance
Low speaker volume
Don't buy this phone.
I regret within minutes after buying this phone.",1
5412,I'm really disappointed with camera performance it's not 50 megapixel camera it's like old VGI or 1.3 camera worst product..,1
5413,Camera quality is very poor as per description show 48 megapixel but photo click as a 5 MP camera,2
5414,Awesome phone..but slow charging,4
5415,Very nice / didn't thought I would get this get this in good state but got it,5
5416,"All the reviews you have see on flipkart is fake only made by offering some cashback or coupon discount.
I am very disappointed with front and back camera both in low light. This is also not upto the mark. Battery backup is good. Overall performance is more than good.",3
5417,Osm I gifted my bhai n he really like it....n camera quality is lovely,5
5418,Osm and looking attractive...,4
5419,Camra quality is not good,1
5420,"Camera quality is very poor very bad
Please not perches this mobile",1
5421,Worth,5
5422,Amazing camra,4
5423,"Value for money,, outstanding performance,, nice product,👌👌👌 mind blowing camera quality,,,",5
5424,"Display quality is very bad
This mobile is displayed over surfness .",1
5425,"Display is poor
Function are not that smoother
I would like to buy Motorola Phones in this range comparative to realme phones
Touch is not that faster as shown
For finger sensor you have to find the area for touch
Over all this is not worth of 12k phone, it must be of around 8k-9k.",3
5426,OSM Mobile,5
5427,"It was totally a mixed experience in terms of camera in light it produces fantastic photos and in low light it produce the photo like its some cheap kind of 2MP camera from nokia phones.
Performance is good according to price.",4
5428,Good phone I'm SO happy🥰🥰🥰,5
5429,"Everything looks good except slow charging. In today time realme in launching a mobile costing Rs. 14000 without fast charging, it's surprising. Although realme claming it 18 watt quick charge. Such a big charger, but charging so slow 😔",4
5430,Good dailyvary at the time and the dailyvary man is helpful...I am Happy and satisfy🙂,5
5431,"Very nice product
Fully satisfied realme narzo 50
Camera quality is good",5
